"DEX1PSCF.Code.or.Value","DEX1PSCF.Value.Description","DEX1PSCF.Count","DEX1PSCF.Cumulative","DEX1PSCF.Skip.to.Item"
"1","High",7,7,NA
"2","Moderate",11,18,NA
"3","Low",19,37,NA
"9","Not determined, picture missing",0,37,NA
".","Missing",2955,2992,NA
