"DED6HDDX.Code.or.Value","DED6HDDX.Value.Description","DED6HDDX.Count","DED6HDDX.Cumulative","DED6HDDX.Skip.to.Item"
"1","Present",22,22,NA
"2","Absent",237,259,NA
"9","Not determined, picture missing",1,260,NA
".","Missing",2732,2992,NA
