"LBDSGBSI.Code.or.Value","LBDSGBSI.Value.Description","LBDSGBSI.Count","LBDSGBSI.Cumulative","LBDSGBSI.Skip.to.Item"
"18 to 60","Range of Values",5901,5901,NA
".","Missing",500,6401,NA
