"LBXLYC.Code.or.Value","LBXLYC.Value.Description","LBXLYC.Count","LBXLYC.Cumulative","LBXLYC.Skip.to.Item"
"0.6 to 80.6","Range of Values",6463,6463,NA
".","Missing",972,7435,NA
