"URDPPXLC.Code.or.Value","URDPPXLC.Value.Description","URDPPXLC.Count","URDPPXLC.Cumulative","URDPPXLC.Skip.to.Item"
"0","At or above the detection limit",0,0,NA
"1","Below lower detection limit",2387,2387,NA
".","Missing",225,2612,NA
