"URDOP3LC.Code.or.Value","URDOP3LC.Value.Description","URDOP3LC.Count","URDOP3LC.Cumulative","URDOP3LC.Skip.to.Item"
"0","At or above the detection limit",2540,2540,NA
"1","Below lower detection limit",260,2800,NA
".","Missing",186,2986,NA
