"WBXF002.Code.or.Value","WBXF002.Value.Description","WBXF002.Count","WBXF002.Cumulative","WBXF002.Skip.to.Item"
"257.3256 to 257.3256","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
