"LB2VAR.Code.or.Value","LB2VAR.Value.Description","LB2VAR.Count","LB2VAR.Cumulative","LB2VAR.Skip.to.Item"
"0.01 to 29.33","Range of Values",375,375,NA
".","Missing",0,375,NA
