"SSII4UCM.Code.or.Value","SSII4UCM.Value.Description","SSII4UCM.Count","SSII4UCM.Cumulative","SSII4UCM.Skip.to.Item"
"757.22 to 100000","Range of Values",960,960,NA
".","Missing",76,1036,NA
