"RIANSMP.Code.or.Value","RIANSMP.Value.Description","RIANSMP.Count","RIANSMP.Cumulative","RIANSMP.Skip.to.Item"
"2 to 8","Range of Values",265,265,NA
".","Missing",0,265,NA
