"MPD050A.Code.or.Value","MPD050A.Value.Description","MPD050A.Count","MPD050A.Cumulative","MPD050A.Skip.to.Item"
"10","Shoulder - right",662,662,NA
"77","Refused",0,662,NA
"99","Don't know",1,663,NA
".","Missing",4378,5041,NA
