"OPDSMA.Code.or.Value","OPDSMA.Value.Description","OPDSMA.Count","OPDSMA.Cumulative","OPDSMA.Skip.to.Item"
"0","No",2882,2882,NA
"1","Yes",131,3013,NA
".","Missing",850,3863,NA
