"DRD350DQ.Code.or.Value","DRD350DQ.Value.Description","DRD350DQ.Count","DRD350DQ.Cumulative","DRD350DQ.Skip.to.Item"
"1 to 10","Range of Values",303,303,NA
".","Missing",8401,8704,NA
