"SPAMANU.Code.or.Value","SPAMANU.Value.Description","SPAMANU.Count","SPAMANU.Cumulative","SPAMANU.Skip.to.Item"
"1 to 12","Range of Values",37661,37661,NA
".","Missing",0,37661,NA
