"LB2LDLSI.Code.or.Value","LB2LDLSI.Value.Description","LB2LDLSI.Count","LB2LDLSI.Cumulative","LB2LDLSI.Skip.to.Item"
"0.34 to 6.31","Range of Values",276,276,NA
".","Missing",268,544,NA
