"URDMX3LC.Code.or.Value","URDMX3LC.Value.Description","URDMX3LC.Count","URDMX3LC.Cumulative","URDMX3LC.Skip.to.Item"
"0","At or above detection limit",2620,2620,NA
"1","Below lower detection limit",1,2621,NA
".","Missing",138,2759,NA
