"WBXA008.Code.or.Value","WBXA008.Value.Description","WBXA008.Count","WBXA008.Cumulative","WBXA008.Skip.to.Item"
"-5.0678 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
