"URDUTLLC.Code.or.Value","URDUTLLC.Value.Description","URDUTLLC.Count","URDUTLLC.Cumulative","URDUTLLC.Skip.to.Item"
"0","At or above the detection limit",2802,2802,NA
"1","Below lower detection limit",6,2808,NA
".","Missing",171,2979,NA
