"DXXPT82X.Code.or.Value","DXXPT82X.Value.Description","DXXPT82X.Count","DXXPT82X.Cumulative","DXXPT82X.Skip.to.Item"
"653.7 to 1192.9","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
