"SSINHBIN.Code.or.Value","SSINHBIN.Value.Description","SSINHBIN.Count","SSINHBIN.Cumulative","SSINHBIN.Skip.to.Item"
"11.926 to 425.982","Range of Values",474,474,NA
".","Missing",16,490,NA
