"ARD130A.Code.or.Value","ARD130A.Value.Description","ARD130A.Count","ARD130A.Cumulative","ARD130A.Skip.to.Item"
"1","Yes",19,19,NA
"2","No",8,27,NA
"7","Refused",0,27,NA
"9","Don't know",0,27,NA
".","Missing",5079,5106,NA
