"WTMREP33.Code.or.Value","WTMREP33.Value.Description","WTMREP33.Count","WTMREP33.Cumulative","WTMREP33.Skip.to.Item"
"0 to 259603.33498","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
