"URXMHP.Code.or.Value","URXMHP.Value.Description","URXMHP.Count","URXMHP.Cumulative","URXMHP.Skip.to.Item"
"0.57 to 115.9","Range of Values",2762,2762,NA
".","Missing",224,2986,NA
