"WTSAU04.Code.or.Value","WTSAU04.Value.Description","WTSAU04.Count","WTSAU04.Cumulative","WTSAU04.Skip.to.Item"
"0 to 478219.34557","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
