"RFXT099.Code.or.Value","RFXT099.Value.Description","RFXT099.Count","RFXT099.Cumulative","RFXT099.Skip.to.Item"
"858 to 867","Range of Values",33692,33692,NA
".","Missing",29,33721,NA
