"SSQ020g.Code.or.Value","SSQ020g.Value.Description","SSQ020g.Count","SSQ020g.Cumulative","SSQ020g.Skip.to.Item"
"16","Neighbors",58,58,NA
".","Missing",1776,1834,NA
