"OPXDGLAU.Code.or.Value","OPXDGLAU.Value.Description","OPXDGLAU.Count","OPXDGLAU.Cumulative","OPXDGLAU.Skip.to.Item"
"0","No",267,267,NA
"1","Possible",76,343,NA
"2","Probable",50,393,NA
"3","Definite",18,411,NA
"4","Ungradable",7,418,NA
".","Missing",3445,3863,NA
