"OCQ330d.Code.or.Value","OCQ330d.Value.Description","OCQ330d.Count","OCQ330d.Cumulative","OCQ330d.Skip.to.Item"
"4","Cloth, or",223,223,NA
".","Missing",7072,7295,NA
