"DXXRRBMD.Code.or.Value","DXXRRBMD.Value.Description","DXXRRBMD.Count","DXXRRBMD.Cumulative","DXXRRBMD.Skip.to.Item"
"0.353 to 1.227","Range of Values",3912,3912,NA
".","Missing",1202,5114,NA
