"TYXP184.Code.or.Value","TYXP184.Value.Description","TYXP184.Count","TYXP184.Cumulative","TYXP184.Skip.to.Item"
"-298 to 151","Range of Values",866,866,NA
".","Missing",4719,5585,NA
