"PFQ061D.Code.or.Value","PFQ061D.Value.Description","PFQ061D.Count","PFQ061D.Cumulative","PFQ061D.Skip.to.Item"
"1","No difficulty",1202,1202,NA
"2","Some difficulty",972,2174,NA
"3","Much difficulty",476,2650,NA
"4","Unable to do",225,2875,NA
"5","Do not do this activity",50,2925,NA
"7","Refused",0,2925,NA
"9","Don't know",2,2927,NA
".","Missing",5494,8421,NA
