"LBXSATSI.Code.or.Value","LBXSATSI.Value.Description","LBXSATSI.Count","LBXSATSI.Cumulative","LBXSATSI.Skip.to.Item"
"2 to 420","Range of Values",5902,5902,NA
".","Missing",499,6401,NA
