"OHD18LAS.Code.or.Value","OHD18LAS.Value.Description","OHD18LAS.Count","OHD18LAS.Cumulative","OHD18LAS.Skip.to.Item"
"0 to 7","Range of Values",1913,1913,NA
"99","Calculation cannot be determined",592,2505,NA
".","Missing",4213,6718,NA
