"RFXC064.Code.or.Value","RFXC064.Value.Description","RFXC064.Count","RFXC064.Cumulative","RFXC064.Skip.to.Item"
"-7.553 to 5.241","Range of Values",33699,33699,NA
".","Missing",22,33721,NA
