"LBDDP6LC.Code.or.Value","LBDDP6LC.Value.Description","LBDDP6LC.Count","LBDDP6LC.Cumulative","LBDDP6LC.Skip.to.Item"
"0","At or above the detection limit",4274,4274,NA
"1","Below lower detection limit",0,4274,NA
".","Missing",1369,5643,NA
