"MCQ160d.Code.or.Value","MCQ160d.Value.Description","MCQ160d.Count","MCQ160d.Cumulative","MCQ160d.Skip.to.Item"
"1","Yes",161,161,NA
"2","No",5378,5539,NA
"7","Refused",0,5539,NA
"9","Don't know",30,5569,NA
".","Missing",3328,8897,NA
