"WBXF099.Code.or.Value","WBXF099.Value.Description","WBXF099.Count","WBXF099.Cumulative","WBXF099.Skip.to.Item"
"6349.6042 to 6349.6042","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
