"WBXP106.Code.or.Value","WBXP106.Value.Description","WBXP106.Count","WBXP106.Cumulative","WBXP106.Skip.to.Item"
"-123.4122 to 167.2752","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
