"SMD055.Code.or.Value","SMD055.Value.Description","SMD055.Count","SMD055.Cumulative","SMD055.Skip.to.Item"
"13 to 79","Range of Values",1176,1176,NA
"80","80 years or older",6,1182,NA
"777","Refused",0,1182,NA
"999","Don't know",19,1201,NA
".","Missing",5800,7001,NA
