"SSNDFSPS.Code.or.Value","SSNDFSPS.Value.Description","SSNDFSPS.Count","SSNDFSPS.Cumulative","SSNDFSPS.Skip.to.Item"
"0 to 1","Range of Values",4265,4265,NA
".","Missing",0,4265,NA
