"DXXPT39X.Code.or.Value","DXXPT39X.Value.Description","DXXPT39X.Count","DXXPT39X.Cumulative","DXXPT39X.Skip.to.Item"
"734.5 to 1270.4","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
