"MSDPF.Code.or.Value","MSDPF.Value.Description","MSDPF.Count","MSDPF.Cumulative","MSDPF.Skip.to.Item"
"46 to 805","Range of Values",1542,1542,NA
".","Missing",751,2293,NA
