"LBX066LA.Code.or.Value","LBX066LA.Value.Description","LBX066LA.Count","LBX066LA.Cumulative","LBX066LA.Skip.to.Item"
"0.15 to 118","Range of Values",1898,1898,NA
".","Missing",387,2285,NA
