"PAXINTEN.Code.or.Value","PAXINTEN.Value.Description","PAXINTEN.Count","PAXINTEN.Cumulative","PAXINTEN.Skip.to.Item"
"0 to 32767","Range of Values",74874095,74874095,NA
".","Missing",0,74874095,NA
