"DXXPT11Y.Code.or.Value","DXXPT11Y.Value.Description","DXXPT11Y.Count","DXXPT11Y.Cumulative","DXXPT11Y.Skip.to.Item"
"97.9 to 316.8","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
