"SLQ240.Code.or.Value","SLQ240.Value.Description","SLQ240.Count","SLQ240.Cumulative","SLQ240.Skip.to.Item"
"1","Don't do this activity for other reasons",84,84,NA
"2","No difficulty",5878,5962,NA
"3","Yes, a little difficulty",454,6416,NA
"4","Yes, moderate difficulty",89,6505,NA
"5","Yes, extreme difficulty",40,6545,NA
"7","Refused",1,6546,NA
"9","Don't know",0,6546,NA
".","Missing",0,6546,NA
