"OCQ530.Code.or.Value","OCQ530.Value.Description","OCQ530.Count","OCQ530.Cumulative","OCQ530.Skip.to.Item"
"1","Yes",1114,1114,""
"2","No",4132,5246,"OCQ550"
"7","Refused",2,5248,"OCQ550"
"9","Don't know",4,5252,"OCQ550"
".","Missing",923,6175,""
