"OHQ555Q.Code.or.Value","OHQ555Q.Value.Description","OHQ555Q.Count","OHQ555Q.Cumulative","OHQ555Q.Skip.to.Item"
"1 to 54","Range of Values",2224,2224,""
"7777","Refused",0,2224,"OHQ566"
"9999","Don't know",3,2227,"OHQ566"
".","Missing",6670,8897,""
