"LBDSIRSI.Code.or.Value","LBDSIRSI.Value.Description","LBDSIRSI.Count","LBDSIRSI.Cumulative","LBDSIRSI.Skip.to.Item"
"1.8 to 85.3","Range of Values",5902,5902,NA
".","Missing",499,6401,NA
