"LBDLUZSI.Code.or.Value","LBDLUZSI.Value.Description","LBDLUZSI.Count","LBDLUZSI.Cumulative","LBDLUZSI.Skip.to.Item"
"0.03 to 6.171","Range of Values",6500,6500,NA
".","Missing",935,7435,NA
