"LBCBR3LA.Code.or.Value","LBCBR3LA.Value.Description","LBCBR3LA.Count","LBCBR3LA.Cumulative","LBCBR3LA.Skip.to.Item"
"2.709 to 114.2","Range of Values",265,265,NA
".","Missing",0,265,NA
