"SPXBFEV3.Code.or.Value","SPXBFEV3.Value.Description","SPXBFEV3.Count","SPXBFEV3.Cumulative","SPXBFEV3.Skip.to.Item"
"985 to 6435","Range of Values",457,457,NA
".","Missing",7038,7495,NA
