"OPDDFAN.Code.or.Value","OPDDFAN.Value.Description","OPDDFAN.Count","OPDDFAN.Cumulative","OPDDFAN.Skip.to.Item"
"0","No",3094,3094,NA
"1","Questionable",89,3183,NA
"2","Yes",18,3201,NA
".","Missing",662,3863,NA
