"WTSBA39.Code.or.Value","WTSBA39.Value.Description","WTSBA39.Count","WTSBA39.Cumulative","WTSBA39.Skip.to.Item"
"0 to 352558.9777","Range of Values",946,946,NA
".","Missing",65,1011,NA
