"LBXGLA.Code.or.Value","LBXGLA.Value.Description","LBXGLA.Count","LBXGLA.Cumulative","LBXGLA.Skip.to.Item"
"5.17 to 391","Range of Values",4312,4312,NA
".","Missing",1331,5643,NA
