"SSNUDOTS.Code.or.Value","SSNUDOTS.Value.Description","SSNUDOTS.Count","SSNUDOTS.Cumulative","SSNUDOTS.Skip.to.Item"
"0 to 4","Range of Values",4265,4265,NA
".","Missing",0,4265,NA
