"CIQD065.Code.or.Value","CIQD065.Value.Description","CIQD065.Count","CIQD065.Cumulative","CIQD065.Skip.to.Item"
"2 to 20","Range of Values",13,13,NA
"77","Refuse",0,13,NA
"99","Don't know",0,13,NA
".","Missing",837,850,NA
