"LB2LYC.Code.or.Value","LB2LYC.Value.Description","LB2LYC.Count","LB2LYC.Cumulative","LB2LYC.Skip.to.Item"
"0.5 to 85.1","Range of Values",545,545,NA
".","Missing",6,551,NA
