"WBXP083.Code.or.Value","WBXP083.Value.Description","WBXP083.Count","WBXP083.Cumulative","WBXP083.Skip.to.Item"
"-174.9083 to 178.7888","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
