"WTDR4YR.Code.or.Value","WTDR4YR.Value.Description","WTDR4YR.Count","WTDR4YR.Cumulative","WTDR4YR.Skip.to.Item"
"298.67300602 to 173979.37695","Range of Values",143004,143004,NA
".","Missing",0,143004,NA
