"WTMREP30.Code.or.Value","WTMREP30.Value.Description","WTMREP30.Count","WTMREP30.Cumulative","WTMREP30.Skip.to.Item"
"0 to 261761.84402","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
