"LBCD05.Code.or.Value","LBCD05.Value.Description","LBCD05.Count","LBCD05.Cumulative","LBCD05.Skip.to.Item"
"6.01 to 490.2","Range of Values",291,291,NA
".","Missing",10,301,NA
