"DXXPT66Y.Code.or.Value","DXXPT66Y.Value.Description","DXXPT66Y.Count","DXXPT66Y.Cumulative","DXXPT66Y.Skip.to.Item"
"98.7 to 309.4","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
