"WBXA106.Code.or.Value","WBXA106.Value.Description","WBXA106.Count","WBXA106.Cumulative","WBXA106.Skip.to.Item"
"-25.8817 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
